"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Mexico","Passenger","Narrow Body","Airbus","A319","131",16,2204592
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Canada","Passenger","Narrow Body","Airbus","A319","131",93,12814191
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Narrow Body","Airbus","A319","131",623,85841301
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Europe","Passenger","Wide Body","Boeing","777","222B",61,28060000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Asia","Passenger","Wide Body","Boeing","777","222B",123,56580000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Wide Body","Boeing","777","222B",28,12880000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Wide Body","Boeing","777","222",127,56515000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Wide Body","Boeing","767","322",52,16640000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Wide Body","Boeing","767","300",187,56100000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Mexico","Passenger","Narrow Body","Boeing","757","-",4,792000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Narrow Body","Boeing","757","-",1059,209682000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Europe","Passenger","Wide Body","Boeing","747","422",30,18900000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Australia / Oceania","Passenger","Wide Body","Boeing","747","422",30,18900000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Asia","Passenger","Wide Body","Boeing","747","422",94,59220000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Wide Body","Boeing","747","422",19,11970000
